state,direction,id,official_name,official_class,source_path,source_sha256
PLAY,CLIENTBOUND,0x6A,set_objective,net.minecraft.network.protocol.game.ClientboundSetObjectivePacket,net/minecraft/network/protocol/game/ClientboundSetObjectivePacket.java,b73231d9189cf13bf801b1b9d1e27ca31831da758206e7ba71627b048442ccf4
PLAY,CLIENTBOUND,0x6B,set_passengers,net.minecraft.network.protocol.game.ClientboundSetPassengersPacket,net/minecraft/network/protocol/game/ClientboundSetPassengersPacket.java,7375895c5dfcd39ff509cc5f9270a9c1d5f625490a5d81a9cfae0371757f5f79
PLAY,CLIENTBOUND,0x6C,set_player_inventory,net.minecraft.network.protocol.game.ClientboundSetPlayerInventoryPacket,net/minecraft/network/protocol/game/ClientboundSetPlayerInventoryPacket.java,682baa5d5d21ad3fc89684a03e2550d95c0f60e96127faa1a4cd06a251a84944
PLAY,CLIENTBOUND,0x6D,set_player_team,net.minecraft.network.protocol.game.ClientboundSetPlayerTeamPacket,net/minecraft/network/protocol/game/ClientboundSetPlayerTeamPacket.java,55bd4540565a7fe8287859bf9412ddc6e0f9842fa3ac59f90cb33e7f6a5836d0
PLAY,CLIENTBOUND,0x6E,set_score,net.minecraft.network.protocol.game.ClientboundSetScorePacket,net/minecraft/network/protocol/game/ClientboundSetScorePacket.java,bbd8fe154292b6ef7c632932adf2f7abfc0890de6653b63b27a79f86d765070e
PLAY,CLIENTBOUND,0x6F,set_simulation_distance,net.minecraft.network.protocol.game.ClientboundSetSimulationDistancePacket,net/minecraft/network/protocol/game/ClientboundSetSimulationDistancePacket.java,dcb835c09c8ec87c7fcc33afc37ed5d195c56540b3795d665c52ec6683592fa9
PLAY,CLIENTBOUND,0x70,set_subtitle_text,net.minecraft.network.protocol.game.ClientboundSetSubtitleTextPacket,net/minecraft/network/protocol/game/ClientboundSetSubtitleTextPacket.java,ae2919ddde7f7e7d5dbef87179f0162eb95b0f4ce3c2e80a8b8f21f6001eeb84
PLAY,CLIENTBOUND,0x71,set_time,net.minecraft.network.protocol.game.ClientboundSetTimePacket,net/minecraft/network/protocol/game/ClientboundSetTimePacket.java,4aa7ee0b8b9b677b799c4407d92ec5291076404ea3252f2a784735f4847bfaab
PLAY,CLIENTBOUND,0x72,set_title_text,net.minecraft.network.protocol.game.ClientboundSetTitleTextPacket,net/minecraft/network/protocol/game/ClientboundSetTitleTextPacket.java,2775eae9049272cf26e7021762363896631308c73ecdd8153bff8759f9470585
PLAY,CLIENTBOUND,0x73,set_titles_animation,net.minecraft.network.protocol.game.ClientboundSetTitlesAnimationPacket,net/minecraft/network/protocol/game/ClientboundSetTitlesAnimationPacket.java,35b0fe423cc62b6953b278497bcd3d2baa1394fa1ce3966ee925ea98070f910a
PLAY,CLIENTBOUND,0x74,sound_entity,net.minecraft.network.protocol.game.ClientboundSoundEntityPacket,net/minecraft/network/protocol/game/ClientboundSoundEntityPacket.java,4f68502eb087b62c2ed554cc239bc26d759894f462ea00e9de49f2b552489e65
PLAY,CLIENTBOUND,0x75,sound,net.minecraft.network.protocol.game.ClientboundSoundPacket,net/minecraft/network/protocol/game/ClientboundSoundPacket.java,f4e727a2f6b63aa4635a416fb47b13447489bd12593da2f33161a334b42208c5
PLAY,CLIENTBOUND,0x76,start_configuration,net.minecraft.network.protocol.game.ClientboundStartConfigurationPacket,net/minecraft/network/protocol/game/ClientboundStartConfigurationPacket.java,88de5055bf8986a3c32d0d58681d507348a3a108e137e22162ad900a10e953db
PLAY,CLIENTBOUND,0x77,stop_sound,net.minecraft.network.protocol.game.ClientboundStopSoundPacket,net/minecraft/network/protocol/game/ClientboundStopSoundPacket.java,78531557895ab7ebebe35ecc167a6215d313e532d25318f6d439655bc818cbf3
PLAY,CLIENTBOUND,0x78,store_cookie,net.minecraft.network.protocol.common.ClientboundStoreCookiePacket,net/minecraft/network/protocol/common/ClientboundStoreCookiePacket.java,2f30d780303964869a11250292e60e26d7cf57c4a1d99f3b69570176362ecb01
